Issn;SJR Best Quartile
ISSN 16101928;Q1
ISSN 08822786, 19424434;Q2
ISSN 0269249X;Q2
ISSN 15210588, 01490400;Q1
ISSN 07373937, 15322300;Q1
ISSN 13802038, 14782294;Q1
ISSN 10687971;Q2
ISSN 14707330, 17405025;Q2
ISSN 01677322;Q2
ISSN 15261719;Q1
ISSN 00902616;Q1
ISSN 14777266;Q2
ISSN 15327698, 15267431;Q1
ISSN 09537325;Q2
ISSN 19360533, 19360541;Q3
ISSN 08985898;Q1
ISSN 09696989;Q2
ISSN 07339453;Q2
ISSN 16066359, 14767392;Q2
ISSN 00171557;Q2
ISSN 02670836;Q2
ISSN 01916122;Q2
ISSN 14681366;Q1
ISSN 03031179;Q2
ISSN 01652125;Q2
ISSN 17450179;Q2
ISSN 01678299;Q2
ISSN 00759511;Q2
ISSN 14343207, 13866338;Q2
ISSN 00236772;Q1
ISSN 19369735, 19369743;Q1
ISSN 00037028;Q2
ISSN 22130764, 22130772;Q2
ISSN 0004640X, 1572946X;Q2
ISSN 01620436, 15737837;Q1
ISSN 21604150;Q3
ISSN 0144929X, 13623001;Q1
ISSN 19328036;Q1
ISSN 10775463;Q2
ISSN 1750743X, 17507448;Q3
ISSN 17428300, 17428297;Q2
ISSN 07481187, 10917683;Q2
ISSN 22107401, 2210741X;Q2
ISSN 00016489;Q2
ISSN 14684845, 15603547;Q2
ISSN 13603116, 14645173;Q2
ISSN 20507445;Q1
ISSN 02536269;Q2
ISSN 0967067X;Q1
ISSN 22124403, 22124411;Q1
ISSN 14803321, 08312796;Q2
ISSN 08853282;Q2
ISSN 00652407;Q2
ISSN 09351175, 14320959;Q2
ISSN 09663274;Q2
ISSN 1467839X, 13672223;Q1
ISSN 2158656X;Q1
ISSN 18031943, 18026222;Q2
ISSN 13860291;Q2
ISSN 16642368, 1664235X;Q2
ISSN 19430604, 19430612;Q2
ISSN 14809222;Q2
ISSN 02331888;Q3
ISSN 08842914;Q2
ISSN 16876121, 1687630X;Q2
ISSN 09574824, 14602245;Q2
ISSN 08858624;Q1
ISSN 1613415X, 14300532;Q1
ISSN 16000560, 03036987;Q2
ISSN 03050491, 10964959;Q2
ISSN 09259864, 15735109;Q2
ISSN 10267360, 00036811;Q2
ISSN 02648725;Q2
ISSN 03796779;Q1
ISSN 01600176;Q1
ISSN 14783371, 14783363;Q1
ISSN 10717544;Q1
ISSN 02663511, 09560599;Q1
ISSN 15408159, 01478389;Q2
ISSN 08990042, 1520636X;Q2
ISSN 00949655;Q2
ISSN 20901542, 20901550;Q2
ISSN 13652885, 01407783;Q1
ISSN 14715953;Q1
ISSN 00323896;Q1
ISSN 01676318;Q1
ISSN 17411122, 17411130;Q2
ISSN 13871307, 15732614;Q2
ISSN 18760341;Q2
ISSN 00028177;Q1
ISSN 09235965;Q2
ISSN 14716879, 02650754;Q2
ISSN 1006706X;Q1
ISSN 22120947;Q1
ISSN 02635143, 14701138;Q1
ISSN 01477447;Q2
-;-
ISSN 14347229, 16190904;Q2
ISSN 0179051X, 14320460;Q2
ISSN 10430679;Q2
ISSN 15582027, 01996614;Q2
ISSN 15405834, 0037976X;Q2
ISSN 09473602, 1432010X;Q2
ISSN 18288936, 18288928;Q2
ISSN 12298557, 22347593;Q1
ISSN 00143022, 14219913;Q2
ISSN 10652469, 14768291;Q2
ISSN 00112240, 10902392;Q1
ISSN 19466226;Q1
ISSN 15307085, 15332500;Q2
ISSN 16414640;Q2
ISSN 14230186, 16602110;Q2
ISSN 00264695, 15731871;Q1
ISSN 00431656;Q3
ISSN 03085961;Q2
ISSN 15587878;Q1
ISSN 16747321;Q1
ISSN 00016810;Q1
ISSN 12962074;Q1
ISSN 13496476;Q3
ISSN 13441698;Q2
ISSN 14679752, 03098249;Q1
ISSN 15414914;Q2
ISSN 14644622;Q2
ISSN 01445154;Q1
ISSN 14670895;Q1
ISSN 13841076, 13841092;Q2
ISSN 1642431X;Q1
-;-
ISSN 14749041;Q2
ISSN 20503911;Q2
ISSN 00796638;Q2
ISSN 18069991, 01020536;Q1
ISSN 02190257;Q2
ISSN 00155683;Q3
ISSN 03852407;Q2
-;-
ISSN 18745482;Q1
ISSN 17498546;Q1
ISSN 09639284, 14684489;Q2
ISSN 14712253;Q2
ISSN 14782189;Q1
ISSN 10812865;Q2
-;-
ISSN 12343099;Q2
ISSN 14390795, 01763679;Q2
ISSN 14678691, 09631690;Q2
ISSN 03766357;Q1
ISSN 17515521, 01419854;Q2
ISSN 10442073;Q1
ISSN 14389312, 14387697;Q1
ISSN 00029629;Q2
ISSN 16060997;Q2
-;-
ISSN 19378629;Q1
ISSN 14701081, 13538322;Q2
ISSN 09640282;Q1
ISSN 00028762;Q1
ISSN 17439191, 17439159;Q2
ISSN 20420188, 20420196;Q3
ISSN 07407459;Q2
ISSN 15903478, 15901874;Q2
ISSN 14757516;Q3
ISSN 10731105;Q1
ISSN 01634984;Q2
ISSN 02195305;Q2
ISSN 18755100;Q2
ISSN 16155262, 16155270;Q1
ISSN 22126287;Q2
ISSN 15494950;Q1
ISSN 14712342;Q2
ISSN 15363694, 01634356;Q2
ISSN 09312439, 14390396;Q1
ISSN 11787104;Q2
ISSN 18743641;Q2
ISSN 10703608;Q2
ISSN 19387849;Q1
ISSN 13300962;Q2
ISSN 19707096, 18271987;Q1
ISSN 10006753;Q2
ISSN 00218855;Q1
ISSN 01950738, 15288994;Q2
ISSN 14767120;Q2
ISSN 08934215;Q1
ISSN 00918369;Q1
ISSN 0031918X;Q2
ISSN 14711842, 14711834;Q1
ISSN 20503814, 20503806;Q1
ISSN 14154757;Q3
ISSN 02685809;Q1
ISSN 15737586, 09251022;Q2
ISSN 01655876;Q2
ISSN 09652299;Q1
ISSN 01596306, 14693739;Q1
ISSN 14716712, 02839318;Q2
ISSN 00405000;Q1
ISSN 00242527;Q1
ISSN 00927872, 15324125;Q2
ISSN 1752928X;Q1
ISSN 13000985;Q2
-;-
ISSN 14365065, 01777971;Q3
ISSN 09593985;Q2
ISSN 20754450;Q2
ISSN 03400204, 14374358;Q2
ISSN 15662543, 15728900;Q1
ISSN 15664910, 15737772;Q1
ISSN 14684527, 14684535;Q1
ISSN 14706423;Q2
ISSN 19419899, 19419902;Q1
ISSN 14660970;Q1
ISSN 00656895;Q2
ISSN 19516355, 19516401;Q2
ISSN 00235962, 14676435;Q2
-;-
ISSN 13085727, 13085735;Q2
ISSN 03091929, 10290419;Q2
ISSN 14643723, 09638024;Q2
ISSN 16871839, 16871847;Q2
ISSN 08153191;Q2
ISSN 09518398;Q2
ISSN 14687968, 17412706;Q1
ISSN 21601852;-
ISSN 15735125, 13862588;Q2
ISSN 15660702;Q2
ISSN 15328422, 10530770;Q2
ISSN 00223131;Q2
ISSN 15228959;Q2
ISSN 07166184;Q2
ISSN 14230313, 00317012;Q2
ISSN 15240215;Q3
ISSN 15509613, 02784297;Q2
ISSN 14381168, 09300708;Q2
-;-
ISSN 08912416;Q1
ISSN 20407378;Q3
ISSN 16617738, 16617746;Q2
ISSN 07189516;Q2
ISSN 00280283;Q2
ISSN 15986446;Q2
ISSN 09500782;Q1
ISSN 23744731, 2374474X;Q2
ISSN 18607330;Q1
ISSN 09186158, 13475215;Q1
ISSN 1470000X, 14649357;Q1
ISSN 08957177;Q2
ISSN 00949930, 15288978;Q2
ISSN 19585586, 19585594;Q2
ISSN 08887985;Q2
ISSN 23526734;Q1
ISSN 15505065, 10573631;Q1
ISSN 00062979, 16083040;Q2
ISSN 17412358, 07340664;Q1
ISSN 17531055, 17531063;Q1
ISSN 00138746;Q2
ISSN 1752153X;Q2
ISSN 15588009, 10504753;Q2
ISSN 21936528, 21938245;Q2
-;-
ISSN 17506166;Q2
ISSN 20763263;Q2
ISSN 01435124;Q1
ISSN 00445231;Q1
ISSN 17439248, 1743923X;Q1
ISSN 12141178;Q2
ISSN 20806574, 14268981;Q2
ISSN 17198429;Q2
ISSN 03617734;Q1
ISSN 09262245;Q3
ISSN 02668254, 1472765X;Q2
ISSN 17388090;Q2
ISSN 09241884;Q1
ISSN 03935264;Q2
ISSN 13600648, 07900627;Q2
ISSN 19722680, 20366590;Q3
ISSN 15706443;Q2
ISSN 21947228, 21947236;Q2
ISSN 10234063;Q2
ISSN 13621025, 14693593;Q1
ISSN 00162663, 15738485;Q2
ISSN 15405710, 15405702;Q1
ISSN 09593330;Q2
ISSN 00068101;Q2
ISSN 15736547, 0278095X;Q2
ISSN 15729680, 01674366;Q1
ISSN 08946507;Q1
ISSN 10427147, 10991581;Q1
ISSN 13632752;Q2
ISSN 15739058, 03003604;Q2
ISSN 1553166X, 15475816;Q1
ISSN 15276988;Q1
ISSN 20776624, 20721439;Q2
ISSN 00219029;Q2
ISSN 00223697;Q2
ISSN 08857482, 15732851;Q1
ISSN 17566266;Q1
ISSN 10538135;Q2
ISSN 18168957, 18163459;Q2
ISSN 15206807, 00333085;Q2
-;-
ISSN 08878722, 15336808;Q2
ISSN 0976500X, 09765018;Q2
ISSN 02275910;Q2
ISSN 00163287;Q1
ISSN 1437160X, 01728172;Q2
ISSN 19389736;Q1
ISSN 22124284;Q1
ISSN 17510759;Q2
ISSN 10580530;Q1
ISSN 13652710, 02694727;Q2
ISSN 00653195;Q1
ISSN 15635279, 00207454;Q3
-;-
ISSN 1538957X, 15389588;Q1
ISSN 10849785;Q2
ISSN 17913004, 17912997;Q3
ISSN 13869477;Q2
ISSN 19162804;Q2
ISSN 00219266;Q1
ISSN 15272737, 15346285;Q2
ISSN 14226383;Q2
ISSN 00188646;Q1
ISSN 01934929;Q2
ISSN 01410768;Q2
ISSN 15487733;Q1
ISSN 14726815;Q2
ISSN 00328332;Q1
ISSN 02827581;Q1
ISSN 19232926, 19232934;Q1
ISSN 00266493;Q2
ISSN 13406868;Q2
ISSN 17530067, 17530059;Q2
ISSN 14670100;Q2
ISSN 13683500;Q1
ISSN 01937235;Q2
ISSN 18630650;Q2
ISSN 02755947, 15488675;Q2
ISSN 15367355, 10761608;Q2
ISSN 19361351, 10662316;Q1
ISSN 17480078, 1748006X;Q2
-;-
ISSN 14226421, 14226405;Q2
ISSN 09643397;Q1
ISSN 15732959, 01676369;Q2
ISSN 14661381, 17412714;Q1
ISSN 15730972, 09593993;Q2
ISSN 15251470, 07368046;Q2
ISSN 08164622;Q2
ISSN 04353684;Q1
ISSN 14602725, 14602393;Q2
ISSN 15592316;Q2
ISSN 02715309;Q1
ISSN 15214125, 09307516;Q1
ISSN 16310721;Q2
ISSN 22147144;Q2
ISSN 14732130, 14732165;Q2
ISSN 19388926;Q2
ISSN 19359772;Q2
ISSN 15476901, 1547691X;Q2
ISSN 1463001X;Q1
ISSN 14138670;Q3
ISSN 15298019, 13960296;Q2
ISSN 15477401, 08827508;Q2
ISSN 08824096;Q1
ISSN 10990739, 02682605;Q2
ISSN 17504813;Q1
ISSN 17449006, 1573062X;Q1
ISSN 07495161, 15351815;Q1
ISSN 15732932, 00496979;Q2
ISSN 14505339;Q1
ISSN 03611434;Q1
ISSN 01931091, 15330311;Q2
ISSN 09273948;Q2
ISSN 19761457, 20056168;Q2
ISSN 10637818, 14684799;Q2
ISSN 20411294, 20411286;Q2
ISSN 01987569, 19453388;Q2
ISSN 13182099;Q2
ISSN 15730719, 01693816;Q2
ISSN 10332170;Q2
ISSN 00225258;Q2
ISSN 15452549, 01462679;Q1
ISSN 02635577;Q1
ISSN 00093157, 14219794;Q2
ISSN 09376429, 18670202;Q2
ISSN 0926227X;Q2
ISSN 21501211, 21501203;Q2
ISSN 17279445, 16085906;Q2
ISSN 13314343;Q2
ISSN 00016977;Q2
ISSN 08956111;Q2
ISSN 20762615;Q1
ISSN 00318655;Q2
ISSN 00218936;Q2
ISSN 19994907;Q1
ISSN 15372677, 07409303;Q2
ISSN 00338362, 18266983;Q2
ISSN 07176287, 07169760;Q1
ISSN 00306126;Q2
ISSN 00348910;Q2
ISSN 16876369, 16876377;Q2
ISSN 10820132;Q1
ISSN 17383684;Q2
ISSN 07060661;Q2
ISSN 09210296, 15730409;Q1
ISSN 03672530;Q2
ISSN 19400829;Q2
ISSN 01655515;Q1
ISSN 10423680, 15581349;Q2
ISSN 15700755;Q2
ISSN 01937758;Q2
ISSN 15214184, 03656233;Q1
ISSN 02562928;Q2
ISSN 02190249;Q1
ISSN 04493060;Q2
ISSN 01442872, 14701006;Q1
ISSN 17497922;Q1
ISSN 14740044, 13614916;Q1
ISSN 00038628;Q1
ISSN 12264512;Q2
ISSN 0733947X;Q2
-;-
ISSN 1063780X;Q2
ISSN 20436386, 20436394;Q1
ISSN 00664103;Q2
ISSN 14677873;Q2
ISSN 1523908X, 15227200;Q2
ISSN 15206297, 07424477;Q1
-;-
-;-
ISSN 17921082, 17921074;Q3
ISSN 15495418;Q2
ISSN 09366768, 14390531;Q2
ISSN 22145532, 22145524;Q2
ISSN 20505701, 20505698;Q2
ISSN 09147470;Q3
ISSN 08837554;Q2
ISSN 1997003X, 19942060;Q1
ISSN 07338619;Q2
ISSN 07331347;Q2
ISSN 16747313, 18691897;Q2
ISSN 10991131, 10745351;Q2
ISSN 20734433;Q2
ISSN 21523878;Q2
-;-
ISSN 16310683;Q2
ISSN 13506501;Q2
ISSN 02172445;Q2
ISSN 15321096, 10448004;Q2
ISSN 14777819;Q2
ISSN 10525149;Q2
ISSN 00100994;Q1
ISSN 15419061;Q3
ISSN 02662671, 14740028;Q1
ISSN 15935213;Q2
ISSN 21919097, 21919089;Q2
ISSN 19460171, 1946018X;Q2
ISSN 20901453, 20901445;Q2
ISSN 12303402;Q2
ISSN 15413144, 01942638;Q1
ISSN 14698307, 14616696;Q1
ISSN 10958320, 10451056;Q2
ISSN 10466789;Q2
ISSN 07673981;Q2
ISSN 23259574;Q2
ISSN 01678019, 15729036;Q2
ISSN 15221229, 10434046;Q3
ISSN 00017310, 15782190;Q2
ISSN 20758251;Q2
ISSN 23254394, 23254416;Q2
ISSN 10344942;Q3
ISSN 07398859;Q1
ISSN 15435075, 15435083;Q2
ISSN 17571146;Q2
ISSN 03023427, 14715430;Q1
ISSN 00089575, 10510974;Q2
ISSN 03032647;Q2
ISSN 14747049;Q2
ISSN 00267961, 14682230;Q1
ISSN 21539553;Q1
ISSN 15736709, 00332720;Q2
ISSN 17599679, 17599660;Q1
ISSN 10962247;Q2
ISSN 10811710;Q2
ISSN 03008207, 16078438;Q2
ISSN 1871403X;Q2
ISSN 10298436, 1477268X;Q2
ISSN 17498090;Q2
ISSN 1557234X;Q2
ISSN 15570851;Q1
ISSN 14243997, 14247860;Q2
ISSN 00066729;Q2
ISSN 12341983;Q3
ISSN 20473087;Q1
ISSN 15024725, 08039488;Q2
ISSN 11755326;Q2
ISSN 16140001;Q2
ISSN 08850607;Q1
ISSN 19371217, 19371209;Q3
ISSN 20395086;Q1
ISSN 13634593;Q2
ISSN 15731367, 09639314;Q1
ISSN 11732563;Q2
ISSN 21505551;Q2
ISSN 10981098, 08999457;Q2
ISSN 18753973;Q3
ISSN 21563950;Q1
-;-
ISSN 15517411;Q1
ISSN 00277630;Q2
ISSN 10963669, 0734242X;Q2
ISSN 21920567;Q2
ISSN 07339488;Q1
ISSN 07352166;Q1
ISSN 16602242;Q3
ISSN 14410745, 14422018;Q1
ISSN 00015733;Q2
ISSN 07488491;Q2
ISSN 00652296;Q2
ISSN 01640704;Q2
ISSN 19315864, 19315872;Q2
ISSN 00016993, 15023869;Q2
ISSN 09504230;Q1
ISSN 10991018, 03080501;Q1
ISSN 18787789;Q2
ISSN 04354052;Q2
ISSN 0265928X, 20796374;Q3
ISSN 13527266, 14664445;Q1
ISSN 09700218, 19983581;Q2
ISSN 18632386, 18632394;Q2
ISSN 19347820, 19347987;Q2
ISSN 11038128;Q2
ISSN 19362625;Q2
ISSN 00027812;Q2
ISSN 00909882;Q1
ISSN 00213640, 10906487;Q2
ISSN 22842578, 00356298;Q2
ISSN 1355770X, 14694395;Q2
ISSN 00063134, 15738264;Q1
ISSN 00224502;Q2
ISSN 18764525, 18764517;Q2
ISSN 22134794, 22134808;Q2
ISSN 07339437;Q2
ISSN 15736857, 00166707;Q2
ISSN 14726831;Q1
ISSN 14678373, 13607456;Q1
ISSN 14440903, 14455994;Q2
ISSN 22132902;Q2
ISSN 02722712;Q2
ISSN 00494747, 15737438;Q2
ISSN 08854726, 15286916;Q1
ISSN 03019233;Q1
ISSN 14676370;Q2
ISSN 22110348;Q2
ISSN 09208542, 15730484;Q2
ISSN 09411291, 14362813;Q2
ISSN 09242031;Q3
ISSN 02529602;Q2
-;-
ISSN 1741427X, 17414288;Q1
ISSN 00224510;Q1
ISSN 19305346, 19305338;Q2
ISSN 08975264, 15433382;Q2
ISSN 15588599, 15588602;Q2
ISSN 01266705;Q2
ISSN 09214488;Q2
ISSN 09284680;Q2
ISSN 10489223, 15327817;Q1
ISSN 00092673, 13480634;Q2
ISSN 14678047;Q1
ISSN 15214001, 00442267;Q2
ISSN 14779072;Q2
ISSN 1201561X;Q2
ISSN 15432777, 07365829;Q2
ISSN 14637154;Q1
ISSN 18418724;Q2
ISSN 15506150, 10726691;Q3
ISSN 12015989;Q2
ISSN 14742640, 14742659;Q1
ISSN 08855765;Q2
ISSN 02194554;Q2
ISSN 14699680, 13676261;Q1
ISSN 09676120, 1573143X;Q2
-;-
ISSN 15264025, 15241904;Q1
ISSN 09729062;Q3
ISSN 14015439;Q1
ISSN 07363761;Q1
ISSN 03667022;Q2
ISSN 00086215;Q2
ISSN 13670069;Q1
ISSN 15577929, 15577910;Q2
ISSN 15724352;Q2
ISSN 01559982;Q2
ISSN 01651765;Q2
ISSN 18665888;Q2
ISSN 03421791, 14322021;Q2
ISSN 10525629, 15526658;Q1
ISSN 1743906X, 13533312;Q1
ISSN 14645300, 13645579;Q1
ISSN 02630338;Q1
ISSN 15882926, 13886150;Q2
ISSN 0017257X, 14777053;Q2
ISSN 14698951, 02699648;Q1
ISSN 17908159, 17908140;Q2
ISSN 18671756, 18671748;Q1
ISSN 09736042;Q2
ISSN 02678292, 13665855;Q2
ISSN 15729273, 01678094;Q2
ISSN 00207063, 10944060;Q2
ISSN 10506519;Q1
ISSN 00791946, 14747065;Q2
ISSN 10112499;Q2
ISSN 02517493;Q2
ISSN 21583978;-
ISSN 15381927;Q2
ISSN 08908508, 10961194;Q3
-;-
ISSN 15322483, 10910344;Q1
ISSN 01787888;Q2
ISSN 18638279, 11345764;Q3
ISSN 01617346, 10960910;Q2
ISSN 09599851, 16191560;Q2
ISSN 1049510X;Q2
ISSN 14230054, 0018716X;Q3
ISSN 02535068, 14219735;Q2
-;-
ISSN 14395444, 02890771;Q2
ISSN 03615235;Q2
ISSN 15739414, 15740277;Q2
ISSN 09675868;Q2
ISSN 12292370;Q2
ISSN 15471063, 15510018;Q2
ISSN 02724324, 15728986;Q2
ISSN 09699546;Q1
ISSN 0029196X, 08014736;Q2
ISSN 14882310, 0008428X;Q2
-;-
ISSN 13748505;Q2
ISSN 13474715, 1342078X;Q2
ISSN 11787058;Q2
ISSN 10966374;Q3
ISSN 14374323, 00068055;Q2
ISSN 22138463;Q1
ISSN 12932558;Q2
ISSN 16067916, 00363634;Q2
ISSN 13492365, 13493299;Q2
ISSN 14401800, 13207881;Q1
ISSN 19341482;Q2
ISSN 09296646;Q2
ISSN 14208954, 10163328;Q2
ISSN 19619502;Q2
ISSN 19328621, 1932863X;Q1
ISSN 10481885;Q2
ISSN 15735192, 01655752;Q3
ISSN 01006762;Q1
ISSN 02731177;Q2
ISSN 08916152, 15210480;Q2
ISSN 14698080, 13504827;Q3
ISSN 13562576, 14701235;Q1
ISSN 1004924X;Q2
ISSN 10020721;Q2
ISSN 15444546, 01639269;Q1
ISSN 10361073;Q1
ISSN 13851292, 15729281;Q2
ISSN 16719727;Q2
ISSN 0399077X;Q3
ISSN 2191477X, 21914761;Q2
ISSN 15502783;Q2
ISSN 02643758;Q1
ISSN 10002634, 16745086;Q2
ISSN 15352811, 1535282X;Q2
ISSN 13574809, 14699664;Q1
ISSN 18797296;Q2
ISSN 1435926X, 00261335;Q3
ISSN 02357186;Q1
ISSN 13867857;Q2
ISSN 14796678;Q2
ISSN 10583300;Q2
ISSN 1741038X;Q1
ISSN 15249042, 15328635;Q1
ISSN 1543270X, 08884773;Q2
ISSN 15187853;Q2
ISSN 13540793;Q2
ISSN 00219983, 1530793X;Q2
ISSN 17407834, 13614533;Q2
ISSN 16180372, 00651281;Q2
ISSN 00375330;Q1
ISSN 15487776, 15487768;Q2
ISSN 00218979, 10897550;Q2
ISSN 00167878;Q2
ISSN 09096396;Q2
ISSN 00392103, 14751305;Q2
ISSN 08953988;Q2
ISSN 14679450, 00365564;Q2
ISSN 00224006;Q1
ISSN 10760342;Q2
ISSN 03081087;Q2
ISSN 13403443, 18610293;Q1
ISSN 15361268;Q2
ISSN 00207152;Q1
ISSN 09660879, 14685973;Q2
ISSN 00832057;Q2
ISSN 00159018, 15729516;Q2
ISSN 00189464;Q2
ISSN 13227696;Q1
ISSN 12254614;Q3
ISSN 14698129, 13545078;Q1
ISSN 20056737;Q2
ISSN 14794802, 17540178;Q2
ISSN 14698056, 13651005;Q2
ISSN 00758914;Q1
ISSN 10689613, 10974067;Q3
ISSN 17445019, 03605310;Q1
ISSN 18671616;Q2
ISSN 15480569, 02728397;Q1
ISSN 10783458;Q1
ISSN 10523928;Q1
ISSN 0954898X, 13616536;Q3
ISSN 17404398, 17451981;Q3
ISSN 02539837;Q3
ISSN 15330346;Q2
ISSN 0969594X, 1465329X;Q2
ISSN 10016058, 10004874;Q2
ISSN 18681743, 18681751;Q2
ISSN 00325481, 19419260;Q2
ISSN 00195189;Q2
ISSN 10646655;Q1
ISSN 15324281, 10799893;Q3
ISSN 00189162;Q1
ISSN 15406237, 00384941;Q1
ISSN 17476933, 17476941;Q2
ISSN 01677764, 15730662;Q3
ISSN 22124209;Q1
ISSN 00211753, 15456994;Q1
ISSN 1755876X;Q2
ISSN 10859195;Q3
-;-
ISSN 08973962;Q3
ISSN 16735005;Q2
-;-
ISSN 18355617;Q3
ISSN 22150013;Q2
ISSN 00033197;Q2
ISSN 02183013;Q2
ISSN 19348584, 19348576;Q2
ISSN 19417322, 19388969;Q3
ISSN 00386804;Q2
ISSN 07496036, 10963677;Q2
ISSN 18748368;Q2
ISSN 14208938, 0003889X;Q2
ISSN 18137253, 18616909;Q2
ISSN 10497315;Q1
ISSN 14344750, 14344742;Q1
ISSN 0733558X;Q1
ISSN 2045435X, 20454368;Q1
ISSN 14601060;Q2
ISSN 10897089, 15387305;Q2
ISSN 14154366;Q2
ISSN 10991395, 08943230;Q2
ISSN 17445647;Q1
ISSN 07422822, 15408175;Q2
ISSN 00295566;Q2
ISSN 12269239;Q2
ISSN 17337178;Q2
ISSN 13438786;Q2
ISSN 00016462;Q2
ISSN 17442648;Q2
ISSN 09524622;Q2
ISSN 12105759;Q2
ISSN 00182656;Q1
ISSN 15352900, 10792082;Q2
ISSN 03074803;Q2
ISSN 09615539;Q2
ISSN 13538047, 14755785;Q2
ISSN 14664496, 02614367;Q1
ISSN 14767724;Q2
ISSN 14624745;Q1
ISSN 15305058, 15327574;Q2
-;-
ISSN 0102311X;Q2
ISSN 03010449, 14321998;Q2
ISSN 10122443, 15737470;Q2
ISSN 01679457;Q2
ISSN 10964762;Q1
ISSN 18714021;Q2
ISSN 17388228;Q1
ISSN 15737578, 09268782;Q2
ISSN 01955373;Q3
ISSN 10820744;Q2
ISSN 15433641, 15433633;Q2
ISSN 14631741;Q2
ISSN 17583004;Q2
ISSN 02182165;Q3
ISSN 0003097X, 21618062;Q1
ISSN 1475357X;Q2
ISSN 01698141;Q2
ISSN 09365907;Q1
ISSN 09492321;Q2
ISSN 02775387;Q2
ISSN 13504487;Q2
ISSN 0026461X;Q3
ISSN 23330376, 23330384;Q2
ISSN 09563202;Q2
ISSN 03438651, 14320991;Q2
ISSN 19329903, 14999013;Q1
ISSN 18671764;Q2
ISSN 15736776, 01415492;Q2
ISSN 16787757;Q1
ISSN 23171537;Q2
ISSN 17483115, 17483107;Q2
ISSN 18750710, 18750796;Q2
ISSN 00084476;Q3
ISSN 22115684;Q2
ISSN 10994300;Q2
ISSN 14427001;Q2
ISSN 17232007;Q3
ISSN 10530479;Q2
ISSN 01960709, 1532818X;Q2
ISSN 07362994, 15329356;Q3
ISSN 19325223;Q2
ISSN 19366574;Q2
-;-
ISSN 14401630, 00450766;Q2
ISSN 09446532;Q2
ISSN 00222216;Q2
-;-
ISSN 1738494X;Q2
ISSN 14667657, 00208132;Q1
ISSN 1070664X, 10897674;Q2
ISSN 15210529, 01490451;Q2
ISSN 2151318X, 1937321X;Q1
ISSN 00239690, 10959122;Q2
ISSN 02764741;Q2
ISSN 13864564, 15737659;Q2
ISSN 13475800, 00445991;Q2
ISSN 00104825;Q2
ISSN 10773525;Q2
ISSN 1385951X, 15737667;Q1
ISSN 00224545;Q2
ISSN 17468361, 00122017;Q1
ISSN 03075400;Q1
ISSN 13668250, 14699532;Q2
ISSN 14138123;Q2
ISSN 22338241, 22338233;Q2
ISSN 20927614;Q2
ISSN 1753318X;Q1
ISSN 1474449X, 09557571;Q1
ISSN 18777503;Q1
ISSN 14692945, 1359866X;Q2
ISSN 0001723X;Q3
ISSN 0278940X;Q2
ISSN 1715720X;Q2
ISSN 10035125, 16740769;Q3
ISSN 15516857;Q2
ISSN 16608054, 16608046;Q2
ISSN 15353532;Q2
ISSN 16721926;Q2
ISSN 09513590, 14730766;Q2
ISSN 13846175, 15737624;Q1
ISSN 22107789;Q2
ISSN 08905096, 16155947;Q2
ISSN 00384038;Q2
ISSN 1752699X, 17526981;Q2
ISSN 1070485X;Q2
ISSN 13053825, 13053612;Q2
ISSN 15594106, 19348630;Q2
ISSN 08111146, 14767244;Q1
ISSN 19971400, 19966814;Q2
ISSN 15480666;Q2
ISSN 15593959;Q2
ISSN 03913988;Q2
ISSN 15731510, 15677419;Q2
ISSN 15220613;Q2
ISSN 17411114, 17411106;Q2
ISSN 14772221, 10245294;Q1
ISSN 19851944;Q2
ISSN 12119520;Q2
ISSN 18632521;Q2
ISSN 08969205;Q2
ISSN 00201693;Q2
ISSN 13350552;Q2
ISSN 04944712, 12263303;Q2
ISSN 15568881, 15568873;Q2
-;-
-;-
ISSN 10423931;Q2
ISSN 10709878;Q2
ISSN 18745504, 18745490;Q2
ISSN 01691864;Q2
ISSN 08872171;Q2
ISSN 15538389;Q2
ISSN 1572896X, 13880764;Q2
ISSN 14929732;Q1
ISSN 22116958;Q1
ISSN 02177323;Q3
ISSN 03794369;Q2
ISSN 0218396X;Q2
ISSN 09280219, 15693945;Q3
ISSN 12900796;Q2
ISSN 00167746;Q2
ISSN 08873828;Q2
ISSN 09559930;Q2
ISSN 09645284;Q1
-;-
ISSN 1816112X;Q2
ISSN 00030481;Q1
ISSN 10990860, 09510605;Q2
ISSN 00221511;Q2
ISSN 02658135;Q1
ISSN 00756458;Q2
ISSN 18956572, 18957455;Q2
ISSN 00758450;Q2
ISSN 12302821;Q3
ISSN 20367430, 20367449;Q3
ISSN 16965426;Q2
ISSN 03675211;Q2
ISSN 03440338;Q2
ISSN 08856257, 1469591X;Q1
ISSN 0067270X;Q1
ISSN 01471767;Q1
ISSN 10949194, 15584232;Q2
ISSN 16874188, 16874196;Q2
ISSN 15487202, 15487199;Q1
ISSN 14653966, 13548506;Q2
ISSN 10658483, 15432688;Q2
ISSN 20926448, 20932340;Q2
ISSN 0021955X;Q1
-;-
ISSN 14753138, 14747456;Q1
ISSN 20467648;Q2
ISSN 22112839;Q3
ISSN 01678507, 16133684;Q1
ISSN 0167482X;Q2
ISSN 13607804;Q2
-;-
ISSN 15626873, 10637737;Q3
ISSN 19477988;Q2
