Title,Source title,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Document Type,Source,EID
"The goals and responsibilities of ""Military Medicine Evenings"" [Die Ziele und Aufgaben der ""Kriegsärztlichen Abende""]","Zeitschrift für Evidenz, Fortbildung und Qualität im Gesundheitswesen",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973426142&partnerID=40&md5=23b240ea85dadc79043151d0b793d282",,[No abstract available],,"general surgery; Germany; history; medical society; military medicine; war; General Surgery; Germany; History, 19th Century; History, 20th Century; Military Medicine; Societies, Medical; World War I",,,22120289,,,26419018,"German",Article,Scopus,2-s2.0-84973426142
"Mnemonic Multiples: The Case of the Columbia Panel Studies","Journal of the History of the Behavioral Sciences",10.1002/jhbs.21698,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920983700&doi=10.1002%2fjhbs.21698&partnerID=40&md5=a6cff9a5a823916f214e1ebf9bb72859","Department of Media and Communication at Muhlenberg College, United States","This article uses the Bureau of Applied Social Research's mid-century book-length panel studies-The People's Choice (1944), Voting (1954), and Personal Influence (1955)-to identify and illustrate a neglected phenomenon in the remembered history of social science: mnemonic multiples. The article describes the way that the Bureau books, originally published into a post-World War II interdisciplinary social science milieu, have since come to be remembered along distinct disciplinary tracks by sociologists, political scientists, and communication researchers. A contextual analysis of references to the Bureau studies in the flagship journals of the three disciplines, from 1960 through 2011, provides tentative support for the mnemonic multiples concept. © 2014 Wiley Periodicals, Inc.",,"book; history; human; longitudinal study; politics; sociology; United States; war; Books; History, 20th Century; History, 21st Century; Humans; Longitudinal Studies; Politics; Social Sciences; United States; World War II",,,00225061,,JHBSA,25502103,"English",Article,Scopus,2-s2.0-84920983700
"Use of Rorschach tests at the Nuremberg war crimes trial: A forgotten chapter in history of medicine","Journal of Psychosomatic Research",10.1016/j.jpsychores.2015.04.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928925878&doi=10.1016%2fj.jpsychores.2015.04.001&partnerID=40&md5=3a6f71811e4310e9aa17a6ed729aeb34","University of California, San Diego, United States","Seventy years ago, psychiatrists and psychologists had unusual access to the Nazi leaders awaiting trial by the International Military Tribunal in Nuremberg. Early leaders in the field of psychosomatic medicine were instrumental in facilitating these interviews as well as arranging for the administration of psychological testing with the Rorschach inkblot test. These observations were kept under wraps for decades and there remains controversy even now about what these Rorschachs revealed-demonic psychopaths or just morally corrupt individuals. © 2015 Elsevier Inc.","History of medicine; Rorschach tests; War criminals","army; Article; history of medicine; human; interview; nuremberg war crime; observational study; offender; personality test; psychiatrist; psychologic assessment; psychologist; psychosomatics; war crime; antisocial personality disorder; criminal law; Europe; Germany; history; legislation and jurisprudence; observer variation; personality test; political system; procedures; psychoanalysis; psychology; reproducibility; soldier; war; war crime; Antisocial Personality Disorder; Criminal Law; Criminals; Europe; Germany; History, 20th Century; Humans; Military Personnel; National Socialism; Observer Variation; Psychoanalytic Interpretation; Reproducibility of Results; Rorschach Test; War Crimes; World War II",,,00223999,,JPCRA,25896214,"English",Article,Scopus,2-s2.0-84928925878
"Australasian contributions to the ""shell shock"" literature of World War i","Australasian Psychiatry",10.1177/1039856215588210,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947937060&doi=10.1177%2f1039856215588210&partnerID=40&md5=350ae9ad126d3c1b1dbf9a933bad84e0","Health Sciences Department, University of Canterbury and Burwood Hospital, Mairehau Road, Christchurch, New Zealand","Objective: Australasians contributed to the medical literature on shell shock during and after World War I. Conclusions: AW Campbell, Elliot Smith, Carmalt Jones and AG Butler made significant contributions, and several 'frontline doctors' recorded astute observations.","AG Butler; Carmalt Jones; Elliot Smith; Shell shock; World War I","Article; Australian; automutilation; battle injury; eclecticism; exercise; exhaustion; fear; human; life history; medical literature; morality; narcissism; personal experience; psychasthenia; psychoeducation; rest; shell shock; soldier; traumatic shock; war; Australia and New Zealand; history; posttraumatic stress disorder; Australasia; Combat Disorders; History, 20th Century; Humans; World War I",,,10398562,,AUPSF,26041843,"English",Article,Scopus,2-s2.0-84947937060
"In Memoriam: Dr Geza Adalbert SZEGLI (17 January 1929-25 December 2014)","Roumanian archives of microbiology and immunology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957423520&partnerID=40&md5=94074a4b9ea6c1825f29ac0b844c2061",,[No abstract available],,"art; health care organization; history; human; immunology; Romania; world health organization; Allergy and Immunology; History, 20th Century; History, 21st Century; Humans; Romania; Societies, Scientific; World Health Organization",,,12223891,,,26727848,"English",Article,Scopus,2-s2.0-84957423520
"Urinary incontinence (salasal bawl) in Greco-Arabic medicine: A review [Urinarna inkontinencija (salasal bawl) u Grčko-Arapskoj Medicini: Pregled]","AMHA - Acta Medico-Historica Adriatica",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965085818&partnerID=40&md5=f9260d82aaff0fd1d62a446f3e2e8be9","Dept. of Amraze Niswan wallmul Qabalat (Gynecology and Obstetrics), National Institute of Unani Medicine, Bangalore, Karnataka, India; Dept. of Ilmus Saidla (Pharmacy), National Institute of Unani Medicine, Bangalore, Karnataka, India; State Govt. of Karnataka, India","Introduction: Greco-Arabic Medicine imparts vast knowledge regarding diseases afflicting different systems. Urinary incontinence (UI) is involuntary leakage of urine. It is an undiagnosed, under-reported, and frequently untreated medical condition that greatlyaffects the quality of life of women in any age. Therefore, a literary search in classical literature of Greco-Arabic medicine for UI was explored to implement in current era. Material and Methods: Meticulous literature search was carried out to comprehend the concept of urinary incontinence described in ancient Unani literature. The classical Greco-Arabic medicine texts were searched. Further, browsing of PubMed/Google Scholar and other websites was carried by searching complementary and alternative treatment for urinary incontinence and herbal remedies useful in urinary incontinence. Results: The causes of urinary incontinence described in Greco-Arabic texts are abnormal temperament of body or bladder, dislocation of vertebrae, pregnancy, diuretic, laxity of musculature of bladder, diseases of surrounding structure such as uterine inflammation, omphalitis, constipation, etc. The principle treatment is treating the cause viz., the temperament is corrected by diet and herbs in abnormal temperament, and elimination of morbid humour is required in dominance of humour. Further, web search showed that herbs are useful in Urinary diseases. However, evidences are weak. Conclusion: The classical Greco-Arabic texts are enriched with important information. Thus documentation and preservation of the traditional knowledge is required so that it can still be conserved for future research in pharmaceuticals and drug discovery. © 2015, Croatian Scientific Society for the History of Health. All rights reserved.","Greco-Arabic medicine; Humour; Salasalbawl; Unani medicine; Urinary incontinence","alternative medicine; cultural anthropology; female; history; history of medicine; human; urine incontinence; Female; Greek World; History, Ancient; Humans; Medicine, Arabic; Medicine, Unani; Urinary Incontinence",,,13344366,,,26959632,"English",Review,Scopus,2-s2.0-84965085818
"Changing concepts of diagnostic criteria of myeloproliferative disorders and the molecular etiology and classification of myeloproliferative neoplasms: From dameshek 1950 to vainchenker 2005 and beyond","Acta Haematologica",10.1159/000358580,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906013270&doi=10.1159%2f000358580&partnerID=40&md5=87c6ee25e63883356025dbf6804a4c68","Department of Hematology, University Hospital Antwerp, Antwerp, Belgium; Department of Pathology, OLV Hospital Aalst, Aalst, Belgium; Free University Hospital Brussels, Brussels, Belgium; European Working Group on Myeloproliferative Neoplasms (EWG.MPN), Goodheart Institute, Rotterdam Erasmus Tower, Veenmos 13, Rotterdam, Netherlands","The Polycythemia Vera Study Group (PVSG) and WHO classifications distinguished the Philadelphia (Ph1) chromosome-positive chronic myeloid leukemia from the Ph1-negative myeloproliferative neoplasms (MPN) essential thrombocythemia (ET), polycythemia vera (PV) and primary myelofibrosis (MF) or primary megakaryocytic granulocytic myeloproliferation (PMGM). Half of PVSG/WHO-defined ET patients show low serum erythropoietin levels and carry the JAK2V617F mutation, indicating prodromal PV. The positive predictive value of a JAK2V617F PCR test is 95% for the diagnosis of PV, and about 50% for ET and MF. The WHO-defined JAK2V617F-positive ET comprises three ET phenotypes at clinical and bone marrow level when the integrated WHO and European Clinical, Molecular and Pathological (ECMP) criteria are applied: normocellular ET (WHO-ET), hypercellular ET due to increased erythropoiesis (prodromal PV) and hypercellular ET associated with megakaryocytic granulocytic myeloproliferation (EMGM). Four main molecular types of clonal MPN can be distinguished: JAK2V617F-positive ET and PV; JAK2 wild-type ET carrying the MPL515; mutations in the calreticulin (CALR) gene in JAK2/MPL wild-type ET and MF, and a small proportion of JAK2/MPL/CALR wild-type ET and MF patients. The JAK2V617F mutation load is low in heterozygous normocellular WHO-ET. The JAK2V617F mutation load in hetero-/homozygous PV and EMGM is clearly related to MPN disease burden in terms of splenomegaly, constitutional symptoms and fibrosis. The JAK2 wild-type ET carrying the MPL515 mutation is featured by clustered small and giant megakaryocytes with hyperlobulated stag-horn-like nuclei, in a normocellular bone marrow (WHO-ET), and lacks features of PV. JAK2/MPL wild-type, CALR mutated hypercellular ET associated with PMGM is featured by dense clustered large immature dysmorphic megakaryocytes and bulky (cloud-like) hyperchromatic nuclei, which are never seen in WHO-ECMP-defined JAK2V617F mutated ET, EMGM and PV, and neither in JAK2 wild-type ET carrying the MPL515 mutation. Two thirds of JAK2/MPL wild-type ET and MF patients carry one of the CALR mutations as the cause of the third distinct MPN entity. WHO-ECMP criteria are recommended to diagnose, classify and stage the broad spectrum of MPN of various molecular etiologies. © 2014 S. Karger AG, Basel.","Bone marrow pathology; CALR mutation; Essential thrombocythemia; JAK2 wild type; JAK2V617F mutation; MPL515 mutation; Myeloproliferative disorders; Myeloproliferative neoplasms; Polycythemia vera; Primary megakaryocytic granulocytic myeloproliferation; Primary myelofibrosis","calreticulin; Janus kinase 2; thrombopoietin receptor; calreticulin; Janus kinase 2; MPL protein, human; thrombopoietin receptor; Article; cancer classification; cell level; cell shape; disease association; erythropoiesis; essential thrombocythemia associated with megakaryocytic granulocytic myeloproliferation; exon; gene mutation; human; megakaryocyte; molecular pathology; myelofibrosis; myeloproliferative disorder; myeloproliferative neoplasm; phenotype; polycythemia vera; predictive value; primary megakaryocytic granulocytic myeloproliferation; priority journal; prodromal symptom; splenomegaly; thrombocythemia; wild type; world health organization; bone marrow; genetics; history; mutation; Myeloproliferative Disorders; pathology; polycythemia vera; practice guideline; Primary Myelofibrosis; Thrombocythemia, Essential; Bone Marrow; Calreticulin; Exons; History, 20th Century; History, 21st Century; Humans; Janus Kinase 2; Mutation; Myeloproliferative Disorders; Polycythemia Vera; Practice Guidelines as Topic; Primary Myelofibrosis; Receptors, Thrombopoietin; Thrombocythemia, Essential",,,00015792,,ACHAA,25116092,"English",Article,Scopus,2-s2.0-84906013270
"Wisdom of the World Medical Association (to one forgotten anniversary) background [Moudrost Světové lékařské asociace (k pozapomenutému výročí)]","Casopis Lekaru Ceskych",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948404524&partnerID=40&md5=c8ff33ad6146231a8262e17167b37c8c","Emeritní Profesorka, LF MU Brno, Heinrichova 25, Brno, Czech Republic","The idea to found an international medical organization was born in July 1945 at the informal conference of doctors from several countries which was held in London. This date represents the very beginning of The World Medical Association. We can therefore celebrate its 70th anniversary and above all to congratulate WMA for keeping the true wisdom of medical ethics and therefore also the integrity of the medical profession to this day. In any medical decision the best interest of individual patient should be considered first.","Doctor-patient relationship; Helsinki declaration; Medical ethics; Resolution on euthanasia; World Medical Association (WMA)","history; human; international cooperation; medical ethics; medical society; physician; Anniversaries and Special Events; Ethics, Medical; Helsinki Declaration; History, 20th Century; History, 21st Century; Humans; International Cooperation; Physicians; Societies, Medical",,,00087335,,CLCEA,26612334,"Czech",Review,Scopus,2-s2.0-84948404524
"The eminent Greek philosopher Aristotle (384-322) on respiration [Le grand philosophe grec Aristote (384-322) sur la respiration]","Revue de Pneumologie Clinique",10.1016/j.pneumo.2015.03.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949315467&doi=10.1016%2fj.pneumo.2015.03.011&partnerID=40&md5=90ed8d00aa4b882b458ccf16717d1f65","Service d'histoire de la médecine, Faculté de médecine, Université d'Athènes, Athènes, Greece; Département de pathologie, Faculté de médecine, Université d'Athènes, Athènes, Greece",[No abstract available],"Aristotle (384-322); History of medicine; Respiration","breathing; human; Letter; Greek world; history; respiratory function; Greek World; History, Ancient; Humans; Respiratory Physiological Processes",,,07618417,,RPCLE,26190338,"French",Letter,Scopus,2-s2.0-84949315467
"A bioarchaeological approach to the reconstruction of changes in military organization among iron age samnites (Vestini) From Abruzzo, Central Italy","American Journal of Physical Anthropology",10.1002/ajpa.22650,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923464794&doi=10.1002%2fajpa.22650&partnerID=40&md5=0a6d226f447ca71a60e13a8fb6bacef6","Department of Archaeology, Durham University, Durham, United Kingdom; Department of Anthropology, University of New Mexico, Albuquerque, NM, United States; Ministero dei Beni e dette Attività Culturali e del Turismo, Rome, Italy; Dipartimento di Biologia Ambientale, Universita degli Studi di Roma La Sapienza, Rome, Italy","The Samnites were an Iron Age population that shifted from warlike mountain dwellers to the largest sociopolitical unit of central Italy, able to dispute with Rome the domination over the peninsula. Archaeological and historical evidence suggests that this major shift in the scale of conflict may have involved a reorganization of the military system, which changed from an elite militia to a conscript or standing army from the Orientalizing-Archaic (800-500 BC) to Hellenistic times (400-27 BC). We propose a bioarchaeological framework jointly analyzing skeletal properties and funerary treatment in male Samnites to investigate on this shift in military organization. We anticipated that, when Samnites had an elite militia, the warring force was constituted by the wealthier segments of the society. Conversely, we expected the warring force of the standing/conscript army to be mainly drawn from the lower social strata. We considered high asymmetry in J, a measure of humeral torsional rigidity (calculated via cross-sectional geometry, CSG) as a proxy for pre- and peri-adolescent-onset weapon training. The social standing of the individual was approximated via funerary treatment analysis (Status Index). Results show that in the Orientalizing-Archaic period, humeral asymmetry and Status Index are positively correlated, and the high-status subsample shows significantly higher asymmetry than the low-status subsample. Among Hellenistic Samnites, no correlation between Status Index and humeral asymmetry is present, and the low-status subsample is the most lateral-ized. Results support the use of CSG in a strong theoretical framework to investigate past changes in military organization and their correlates in terms of sociopolitical development, alterations of power relationships, and warfare. © 2014 Wiley Periodicals, Inc.","Cross-sectional geometry; Humeral asymmetry; Proto-history; State formation; Warfare","adult; age distribution; archeology; army; Article; chronology; conceptual framework; cross sectional geometry; geometry; historical period; human; Iron Age; Italy; male; mechanical torsion; paleopathology; senescence; sex determination; social change; social structure; society; weapon; anatomy and histology; archeology; cultural anthropology; history; humerus; procedures; soldier; statistics and numerical data; Archaeology; History, Ancient; Humans; Humerus; Italy; Male; Military Personnel; Roman World",,,00029483,,AJPNA,25360793,"English",Article,Scopus,2-s2.0-84923464794
"Of poppies and men – From trench nephritis to gulf war syndrome","Journal of the Royal College of Physicians of Edinburgh",10.4997/JRCPE.2015.119,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926313591&doi=10.4997%2fJRCPE.2015.119&partnerID=40&md5=6f5201eae1d73c0c59479221f2292daa","Department of Internal Medicine, University of Pretoria, Pretoria, South Africa",[No abstract available],,"pesticide; pyridostigmine; British citizen; ceramics; chronic disease; cognitive defect; editorial; fatigue; gastrointestinal disease; headache; hospital admission; human; infection; Letter; nephritis; pain; Persian Gulf syndrome; respiratory tract disease; skin disease; soldier; trench nephritis; veteran; war; history; male; nephritis; History, 20th Century; History, 21st Century; Humans; Male; Nephritis; Persian Gulf Syndrome; World War I",,,14782715,,,26054101,"English",Letter,Scopus,2-s2.0-84926313591
"Whistleblowing in medicine and in homer’s Iliad","Medical Humanities",10.1136/medhum-2015-010673,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948382488&doi=10.1136%2fmedhum-2015-010673&partnerID=40&md5=44e7a602287f7e45b665f24fb429f6aa","Peninsula Medical School, Universities of Exeter and Plymouth, Truro, Cornwall, United Kingdom; University of Exeter Medical School, Truro, Cornwall, United Kingdom; Academy for Innovation and Research/Graduate School, Falmouth University, Falmouth, Cornwall, United Kingdom","‘Thinking with Homer’, or drawing creatively on themes and scenes from Homer’s Iliad and Odyssey, can help us to better understand medical culture and practice. One current, pressing, issue is the role of the whistleblower, who recognises and exposes perceived poor practice or ethical transgressions that compromise patient care and safety. Once, whistleblowers were ostracised where medical culture closed ranks. However, in a new era of public accountability, medicine looks to formally embrace whistleblowing to the point that not reporting transgressions can now constitute a transgression of professionalism. Where medical students identify with the history and traditions of medical culture, they inevitably find themselves in situations of conflicting loyalties if they encounter senior clinicians behaving unprofessionally. What are the implications of facing these dilemmas for students in terms of role modelling and shaping of character as a doctor, and how might a study of Homer help with such dilemmas? We suggest that a close reading of an opening scene in Homer’s the Iliad can help us to better appreciate such ethical dilemmas. We link this with the early Greek tradition of parrhesia or ‘truth telling’, where frankly speaking out against perceived injustice is encouraged as resistance to power and inappropriate use of authority. We encourage medical educators to openly discuss perceived ethical dilemmas with medical students, and medicine as a culture to examine its conscience in a transition from an authoritarian to an ‘open’ society, where whistleblowing becomes as acceptable and necessary as good hygiene on the wards. © 2015 BMJ Publishing Group. All rights reserved.",,"bullying; conflict; cultural anthropology; ethics; Great Britain; history; human; interpersonal communication; legislation and jurisprudence; literature; medical education; medical student; morality; organization; patient care; patient safety; physician; psychology; public figure; public health; social behavior; standards; trends; whistleblowing; Bullying; Dissent and Disputes; Education, Medical; Famous Persons; Great Britain; Greek World; History, 21st Century; History, Ancient; Humans; Medicine in Literature; Moral Obligations; National Health Programs; Organizational Culture; Patient Care Team; Patient Safety; Physicians; Social Identification; Social Responsibility; Students, Medical; Truth Disclosure; Virtues; Whistleblowing",,,1468215X,,MHEUB,25948788,"English",Article,Scopus,2-s2.0-84948382488
"Contribution to the history of pharmacology (the late antique period) [Příspěvek k dějinám farmakologie (období pozdní antiky)]","Casopis Lekaru Ceskych",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924296140&partnerID=40&md5=01b279acad64e1942c759a089a04431e","Vysoka Skola Zdravotnictva A Socialnej Prace Sv. Alzbety v Bratislave, N. O., Czech Republic","Pharmacological literature in the Late Antique period followed the Roman tradition and widely used Scribonius Largus and excerpts from the writings of Pliny the Elder. Literature was created both in the western part of the Roman Empire and in North Africa in Carthage. Manuals have been written about medicinal plants (Herbarius of Pseudo-Apuleius, De herba vettonica of Pseudo-Musa), for drugs obtained from the animal kingdom (Liber medicinae of Sextus Placitus) or documents containing both (De medicina of Cassius Felix, De medicamentis of Marcellus Empiricus). The contribution of this literature is the mediation of ancient knowledge into the Middle Ages.","Cassius Felix; Marcellus Empiricus; Pharmacology; Pseudo-Apuleius; Pseudo-Musa; Sextus Placitus; The history of pharmacology; Vindicianus","cultural anthropology; history; pharmacology; History, Ancient; Pharmacology; Roman World",,,00087335,,CLCEA,25994825,"Czech",Review,Scopus,2-s2.0-84924296140
"Famous head injuries of the first aerial war: Deaths of the ""knights of the air""","Neurosurgical Focus",10.3171/2015.4.FOCUS15109,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935474464&doi=10.3171%2f2015.4.FOCUS15109&partnerID=40&md5=9d5b20cafc6927904ea93342433fa0ed","Departments of Neurological Surgery, Rutgers New Jersey Medical School, Newark, NJ, United States; Departments of Radiology, Rutgers New Jersey Medical School, Newark, NJ, United States; Departments of Neurology and Neuroscience, Rutgers New Jersey Medical School, Newark, NJ, United States","World War I advanced the development of aviation from the concept of flight to the use of aircraft on the battlefield. Fighter planes advanced technologically as the war progressed. Fighter pilot aces Francesco Baracca and Manfred von Richthofen (the Red Baron) were two of the most famous pilots of this time period. These courageous fighter aces skillfully maneuvered their SPAD and Albatros planes, respectively, while battling enemies and scoring aerial victories that contributed to the course of the war. The media thrilled the public with their depictions of the heroic feats of fighter pilots such as Baracca and the Red Baron. Despite their aerial prowess, both pilots would eventually be shot down in combat. Although the accounts of their deaths are debated, it is undeniable that both were victims of traumatic head injury. © AANS, 2015.","Aerial combat-related head injury; Francesco baracca; Manfred von richthofen; Neurosurgical history; Red baron; World war I","adult; aerospace medicine; art; Craniocerebral Trauma; Germany; history; human; Italy; male; public figure; soldier; war; warfare; Adult; Aerospace Medicine; Craniocerebral Trauma; Famous Persons; Germany; History, 20th Century; Humans; Italy; Male; Military Personnel; Warfare; World War I",,,10920684,,,26126404,"English",Article,Scopus,2-s2.0-84935474464
"Tuberculosis and World War I","American Journal of Respiratory and Critical Care Medicine",10.1164/rccm.201501-0135OE,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942540715&doi=10.1164%2frccm.201501-0135OE&partnerID=40&md5=08c000d52f89e03de3881097ac554b2f","University of California San Francisco, San Francisco, CA, United States",[No abstract available],,"toxic gas; army; chemical warfare; crowding (area); general practitioner; hostility; human; lung ventilation; malnutrition; medical care; mental stress; military service; mortality; physical examination; physical stress; priority journal; Review; tuberculosis; war; X ray; Europe; history; tuberculosis; United States; Europe; History, 19th Century; History, 20th Century; Humans; Tuberculosis; United States; World War I",,,1073449X,,AJCME,26278794,"English",Review,Scopus,2-s2.0-84942540715
"Pathologists in the great patriotic war years (on the occasion of the 70th anniversary of the great victory)","Arkhiv Patologii",10.17116/patol201577270-74,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930983154&doi=10.17116%2fpatol201577270-74&partnerID=40&md5=d75147df8bd4b73b6d439caf377bbf9c","Russian Medical Academy of Postgraduate Education, Moscow, Russian Federation",[No abstract available],,"health care delivery; history; military medicine; organization and management; pathology; physician attitude; Russian Federation; war; Delivery of Health Care; History, 20th Century; History, 21st Century; Military Medicine; Pathology; Physician's Role; Russia; World War II",,,00041955,,ARPTA,26027405,"Russian",Review,Scopus,2-s2.0-84930983154
"The ancient city of Rome, its empire, and the spread of tuberculosis in Europe","Tuberculosis",10.1016/j.tube.2015.02.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931575610&doi=10.1016%2fj.tube.2015.02.005&partnerID=40&md5=38f4d1667ea321df4d14ccf3dc37c3b1","University of Cambridge, Faculty of Classics, Sidgwick Avenue, Cambridge, United Kingdom","The formation of the Roman Empire constituted an unprecedented joining of Mediterranean and European lands and peoples, centering on the capital of Rome. During the late Roman Republic and early Roman Empire (ca. 200 B.C.-ca. 200 A.D.) urbanization and population growth led to conditions favorable to the spread of tuberculosis throughout Italy and especially within Rome itself. Trade and military expansion would have acted as vehicles for the further extension of tuberculosis to the provinces via direct transmission from Italian-born Romans to the native populations. However, an alternative explanation may better explain the increase in the number of archeological cases of tuberculosis with the start of the Roman era. A literature review of Roman-era cases and their locations suggests that the development of an urban, Roman way of life resulted in significant increases in prevalence in regions where tuberculosis had previously been endemic only at a low level. © 2015 Elsevier Ltd. All rights reserved.","Archeology/archaeology; Europe; History; History of medicine; Paleopathology/palaeopathology; Roman","Antiquity; army; Article; human; Italy; modern times; population growth; prevalence; priority journal; tuberculosis; urban area; urbanization; cultural anthropology; Europe; health; history; paleopathology; tuberculosis; Europe; History, Ancient; Humans; Paleopathology; Roman World; Tuberculosis; Urban Health",,,14729792,,TUBEC,25771202,"English",Article,Scopus,2-s2.0-84931575610
"John F.C. Turner and housing as a verb","Built Environment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948963988&partnerID=40&md5=b4643706cfb64f195ae62c4dd9affa5d","The New School, New York, United States","Freedom to Build: Dweller Control of the Housing Process edited by John F.C. Turner and Robert Fichter, published in 1972, was one of the first books which asserted that 'when dwellers are in control, their homes are bett er and cheaper than those built through government programs or large corporations'. Largely inspired by John Turner's work in Peru in the 1960s with low-income communities, this volume assembles experience in diff erent countries and is strongly influenced by Turner's notion of 'housing as a verb'. This book heavily influenced my research in the Ivory Coast in 1969-1971 and later my work as a young economist in the World Bank starting in 1972. Turner's ideas became the theoretical basis for policies governing international urban assistance to developing countries in the form of 'sites and services' and 'slum upgrading', two approaches to improving urban shelter and infrastructure which became the dominant form of urban aid for the decades of the 1970s and 1980s. Projects of these types were financed in more than eighty countries and hundreds of cities and towns in this period, directly reflecting the insights of John Turner and the authors of the chapters in the Turner and Fichter volume. The legacy of this work has largely been unevaluated, either by professionals in these countries or in the international agencies. Yet the assertion of 'freedom to build' is the fundamental premise of this activity on a global scale.",,"developing world; economic history; government; historical perspective; low income population; urban housing; World Bank; Cote d'Ivoire",,,02637960,,,,"English",Article,Scopus,2-s2.0-84948963988
