Source title,DOI,Link,Affiliations,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,EID
"Journal of Biomedical Optics",10.1117/1.3562976,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855520688&doi=10.1117%2f1.3562976&partnerID=40&md5=c78aad925ddbd02906c382aac1c0f033","University of Vaasa, Department of Electrical and Energy Engineering, Automation Technology, Wolffintie 34, Vaasa, 65101, Finland; Tampere University Hospital, Department of Plastic Surgery, Tampere, Finland; Saratov State University, Institute of Precise Mechanics and Control of RAS, Saratov, Russian Federation","The concentrations of blood and melanin in skin can be estimated based on the reflectance of light. Many models for this estimation have been built, such as Monte Carlo simulation, diffusion models, and the differential modified Beer-Lambert law. The optimization-based methods are too slow for chromophore mapping of high-resolution spectral images, and the differential modified Beer-Lambert is not often accurate enough. Optimal coefficients for the differential Beer-Lambert model are calculated by differentiating the diffusion model, optimized to the normal skin spectrum. The derivatives are then used in predicting the difference in chromophore concentrations from the difference in absorption spectra. The accuracy of the method is tested both computationally and experimentally using a Monte Carlo multilayer simulation model, and the data are measured from the palm of a hand during an Allen's test, which modulates the blood content of skin. The correlations of the given and predicted blood, melanin, and oxygen saturation levels are correspondingly r = 0.94, r = 0.99, and r = 0.73. The prediction of the concentrations for all pixels in a 1-megapixel image would take ∼20 min, which is orders of magnitude faster than the methods based on optimization during the prediction. © 2011 Society of Photo-Optical Instrumentation Engineers (SPIE).","Beer-Lambert law; Biological tissues; Dermal imaging; Diffusion theory; Integrating sphere biomedical engineering; Medical imaging; Monte Carlo methods; Multispectral imaging; Optics; Photonics","Beer Lambert law; Biological tissues; Dermal imaging; Diffusion theory; Integrating spheres; MONTE CARLO; Multispectral imaging; Beer; Biomedical engineering; Blood; Chromophores; Computer simulation; Diffusion; Forecasting; Medical imaging; Optimization; Photomapping; Spheres; Tissue; Monte Carlo methods; deoxyhemoglobin; hemoglobin; melanin; oxyhemoglobin; algorithm; article; blood analysis; chemistry; computer simulation; diagnostic imaging; diffusion; human; methodology; Monte Carlo method; optics; reproducibility; skin; spectroscopy; statistical model; theoretical model; Algorithms; Blood Chemical Analysis; Computer Simulation; Diagnostic Imaging; Diffusion; Hemoglobins; Humans; Linear Models; Melanins; Models, Theoretical; Monte Carlo Method; Optics and Photonics; Oxyhemoglobins; Reproducibility of Results; Skin; Spectrum Analysis",,,10833668,,JBOPF,21529081,"English",2-s2.0-84855520688
"Biochemistry (Moscow) Supplement Series B: Biomedical Chemistry",10.1134/S1990750811010100,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954463211&doi=10.1134%2fS1990750811010100&partnerID=40&md5=981fdb7203d1bf7126946fd83e25da0a","Medical Radiological Research Center, Russian Academy of Medical Sciences, ul. Koroleva 4, Obninsk 249036, Russian Federation","Using stem cells as an example the review considers a new history and methodology of search for stem cells (SC), found in tissues of adult Homo sapiens and Drosophila melanogaster organisms. These studies of SC resulted in several original hypotheses explaining their unusual features. Impressive progress recently achieved in this direction (2008-2010) is associated with employment of new methods of somatic recombination for long-term registration of various strains of differentiated cells, early and distant SC progeny. 1) Although anatomic localization of intestinal epithelium cells lacking marked morphological and biochemical differentiation markers (the lower third of intestinal and colon crypts) is known for about 40 years results of their experimental identification, isolation and detection of their functional characteristics still represent the subject for discussions. Particularly, it remains unclear, which SC are involved in crypt regeneration: the same as those involved into homeostatic renewal or their various subpopulations or early SC progenies acquired stem features by reprogramming? 2) In addition, most detected biochemical markers of potential SC are common for SC from other tissues of embryonic and mature organisms so it is possible to apply method developed for intestinal epithelium for their isolation. 3) Data on induction of intestinal epithelium polyps and neoplasias by mutations in genes encoding SC markers and identification of biochemical characteristics of potential SC in these tumors support the hypothesis of stem tumor cell origination from normal SC or their earliest progeny. In general, facts considered in this review may be useful for both development of optimal methods for the use of SC in cell therapy (as the source of humoral factors), regenerative medicine (as the source of differentiated cells for restoration of injured tissue), and also for targeted search of antitumor drugs (SC as the target) and preparations modifying genetic and epigenetic reactions of SC to genotoxic and stress treatments. © 2011 Pleiades Publishing, Ltd.","intestinal epithelium; markers; stem cells","beta1 integrin; BMI1 protein; bone morphogenetic protein receptor; DNA; doublecortin and calcium calmodulin dependent protein kinase like I; ephrin receptor B2; ephrin receptor B3; G protein coupled receptor; leucine rich repeat containing G protein coupled receptor 5; membrane protein; microtubule associated protein; molecular marker; Musashi 1; phosphatidylinositol 3,4,5 trisphosphate 3 phosphatase; prominin; RNA binding protein; telomerase reverse transcriptase; unclassified drug; article; biochemistry; cell differentiation; cell function; cell isolation; cell regeneration; cell renewal; cell strain; cell structure; cell subpopulation; cellular distribution; DNA modification; Drosophila melanogaster; gene mutation; human; intestine cancer; intestine crypt; intestine epithelium cell; intestine epithelium stem cell; intestine polyp; mitotic recombination; nonhuman; priority journal; regenerative medicine; stem cell; stem cell transplantation; tissue regeneration; Drosophila melanogaster; Homo sapiens",,,19907508,,,,"English",2-s2.0-79954463211
"Biochemistry (Moscow) Supplement Series B: Biomedical Chemistry",10.1134/S1990750811010057,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954475645&doi=10.1134%2fS1990750811010057&partnerID=40&md5=6c93761d0ca60f56ce90975b7ff78575","Institute of Transplantology and Artificial Organs, ul. Shchukinskaya, 1, Moscow, Russian Federation","The cultivation of multipotent mesenchymal stromal bone marrow cells (BM-MSC) and A-431, MDCK, Vero, 3T3 and Hep-G2 lines of cells was performed in DMEM medium using polyvinyl alcohol (PVA) polymer films as scaffolds. PVA was modified by covalent linking of various hydrophobic fatty acids. Different cell types exhibited different growth intensity on these films, which, however, in most cases was comparable with control cultivations on plastics. © 2011 Pleiades Publishing, Ltd.","bone marrow cells; cell lines; cultivation; polyvynil alcohol (PVA); substrates","10 undecenoic acid; decanoic acid; fatty acid; lauric acid; myristic acid; plastic; polymer; polyvinyl alcohol; stearic acid; tissue scaffold; animal cell; article; bone marrow cell; cell culture; cell growth; cell line; cell strain; cell strain 3T3; cell strain HepG2; cell type; controlled study; covalent bond; culture medium; human; human cell; hydrophobicity; mesenchymal stem cell; mouse; multipotent stem cell; nonhuman; priority journal; rat; tissue engineering; Vero cell",,,19907508,,,,"English",2-s2.0-79954475645
"Biochemistry (Moscow) Supplement Series B: Biomedical Chemistry",10.1134/S1990750811010045,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79954507705&doi=10.1134%2fS1990750811010045&partnerID=40&md5=473a42e9c1c6aad02be50edc4716133d","Lomonosov Moscow State University, Bld. 12, Leninskie Gory 1, Moscow 119991, Russian Federation; Bakh Institute of Biochemistry, Russian Academy of Sciences, Moscow, Russian Federation","Biodegradable biopolymers attract much attention in biology and medicine due to its wide application. The present review considers a biodegradable and biocompatible polymer of bacterial origin, poly(3-hydroxybutyrate), which has wide perspectives in medicine and pharmaceutics. It highlights basic properties of biopolymer (biodegradability and biocompatibility) and also biopolymer systems: various materials, devices and compositions based on the biopolymer. Application of poly(3-hydroxybutyrate)-based biopolymer systems in medicine as surgical implants, in bioengineering as cell culture scaffolds, and in pharmacy as novel drug dosage forms and drug systems are also considered. © 2011 Pleiades Publishing, Ltd.","biocompatibility; biodegradation; biopolymer system; poly(3-hydroxybutyrate) (PHB); polyhydroxyalkanoates (PHA)","biopolymer; cefoperazone; chlorambucil; deoxyuridine; dexamethasone; dipyridamole; doxorubicin; duocid; etofylline; etoposide; floxuridine; fluorouracil; gentamicin; indometacin; levofloxacin; metronidazole; microsphere; paclitaxel; poly(3 hydroxybutyric acid); polydioxanone; polyglycolide; polylactide; rifamycin; sulbactam; sulperazon; suture material; tetracycline; tissue scaffold; tramadol; unindexed drug; article; artificial embolism; biocompatibility; biodegradability; bioengineering; cell culture; controlled release formulation; drug delivery system; drug dosage form; encapsulation; hydrophilicity; hydrophobicity; implant; inflammation; nonhuman; priority journal; stapler; surgical equipment; tissue engineering; Bacteria (microorganisms)",,,19907508,,,,"English",2-s2.0-79954507705
"Bulletin of Experimental Biology and Medicine",10.1007/s10517-011-1185-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79958256047&doi=10.1007%2fs10517-011-1185-3&partnerID=40&md5=a3974ceb5612722eb8ad5368dbe20aba","Institute of Cryobiology and Cryomedicine Problems, National Academy of Sciences of Ukraine, Khar'kov, Russian Federation; A. N. Nesmeyanov Institute of Elementorganic Compounds, Russian Academy of Sciences, Moscow, Russian Federation","We performed a comparative study of the localization, distribution, metabolic activity, and surface properties of human bone marrow mesenchymal stromal cells after static and perfusion seeding to macroporous alginate cryogels. A simple perfusion system for mesenchymal stromal cell seeding to macroporous alginate cryogel sponges proposed in this study resulted in rapid and uniform distribution of cells within the whole volume of the scaffold preserving functonal and morphological properties of the cells. © 2011 Springer Science+Business Media, Inc.","Macroporous agarose cryogel sponges; Mesenchymal stromal cells; Perfusion and static seeding; Tissue engineering","alginic acid; article; bone marrow cell; bone marrow mesenchymal stem cell; cell function; cell metabolism; cell structure; cellular distribution; controlled study; cryogel; gel; human; human cell; intermethod comparison; stroma cell; surface property; Alginates; Bone Marrow Cells; Cell Culture Techniques; Cell Proliferation; Cells, Cultured; Cryogels; Glucuronic Acid; Hexuronic Acids; Humans; Mesenchymal Stromal Cells; Tissue Engineering; Tissue Scaffolds",,,00074888,,BEXBA,22268060,"English",2-s2.0-79958256047
"Journal of Biomedical Materials Research - Part A",10.1002/jbm.a.32968,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649588811&doi=10.1002%2fjbm.a.32968&partnerID=40&md5=78ae13546951be2a73fd21f53d2a1a9f","Faculty of Biology, Lomonosov Moscow State University, Leninskiye Gory 1, 119991 Moscow, Russian Federation; Laboratory for Protein Engineering, State Scientific Center of Russian Federation, State Research Institute for Genetics and Selection of Industrial Microorganisms, 1st Dorozhny 1, 117545 Moscow, Russian Federation; Research Center for Biomaterials, Shumakov Federal Research Center of Transplantology and Artificial Organs, Shchukinskaya 1, 123182 Moscow, Russian Federation","The goal of this study was to generate porous scaffolds from the genetically engineered protein, an analogue of Nephila clavipes spidroin 1 (rS1/9) and to assess the properties of new rS1/9 scaffolds essential for bioengineering. The salt leaching technique was used to make the rS1/9 scaffolds of interconnected macroporous structure with spontaneously formed micropores. The tensile strength of scaffolds was 18 ± 5 N/cm2. Scaffolds were relatively stable in a phosphate buffer but degraded in oxidizing environment after 11 weeks of incubation. Applicability of the recombinant spidroin 1 as a substrate for cell culture was demonstrated by successful 3T3 cells growth on the surface of rS1/9 films (270 ± 20 cells/mm2 vs. 97 ± 8 cells/mm2 on the glass surface, p &lt; 0.01). The 3T3 fibroblasts readily proliferated within the rS1/9 scaffold (from initially plated 19 ± 2 cells/mm3 to 3800 ± 304 cells/mm 3 after 2 weeks). By this time, cells were uniformly distributed between the surface and deeper layers (27% ± 8% and 33% ± 4%, respectively; p &gt; 0.05), whereas the initial distribution was 58% ± 7% and 11% ± 8%, respectively; p &lt; 0.05). The rS1/9 scaffolds implanted subcutaneously into Balb/c mice were well tolerated. Over a 2-month period, the scaffolds promoted an ingrowth of de novo formed vascularized connective tissue elements and nerve fibers. Thus, scaffolds made of the novel recombinant spidroin 1 analogue are potentially applicable in tissue engineering. © 2010 Wiley Periodicals, Inc.","biocompatibility; biodegradable scaffold; biopolymer; spidroin","BALB/c mice; Biodegradable scaffold; Connective tissues; Genetically engineered protein; Glass surfaces; In-vitro; Macroporous structures; Micropores; Nephila clavipes; Nerve fibers; Oxidizing environments; Phosphate buffers; Porous scaffold; Salt leaching; spidroin; Biocompatibility; Biomolecules; Cell culture; Cell proliferation; Genetic engineering; Leaching; Musculoskeletal system; Tensile strength; Tissue engineering; Scaffolds; phosphate buffered saline; recombinant protein; rS1/9; scaffold protein; unclassified drug; animal cell; animal experiment; article; biocompatibility; cell culture; cell growth; cell strain 3T3; connective tissue; genetic engineering; in vitro study; in vivo study; leaching; mouse; nonhuman; protein analysis; protein degradation; tensile strength; Animals; Biocompatible Materials; Cells, Cultured; Female; Fibroblasts; Fibroins; Materials Testing; Mice; Mice, Inbred BALB C; Porosity; Recombinant Proteins; Tissue Engineering; Tissue Scaffolds",,,15493296,,JBMRC,21105160,"English",2-s2.0-78649588811
"Inorganic Materials: Applied Research",10.1134/S2075113311010072,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051654577&doi=10.1134%2fS2075113311010072&partnerID=40&md5=23dda36cc96486450f856aa31bbd10e1","Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences, Moscow, Russian Federation; Voronezh State University, Voronezh, Russian Federation; Herzen Oncology Research Institute, Rosmedtekhnologii, Moscow, Russian Federation","The fundamentals of the technology are developed for the fabrication of hybrid composite chitosan/gelatin-hydroxyapatite materials aimed for medical applications as porous matrices in regenerating damaged bone tissues, and the properties of the above materials are investigated. They are elastic, having a porosity of up to 90% and pores of up to 700 μm in size; possess controlled dissolution kinetics; contain up to 90 wt % hydroxyapatite or carbonate-substituted hydroxyapatite in the form of nanodisperse powders or granules with a size of up to 500 μm; and are characterized by no cytotoxicity. Their introduction into the site of a bone defect considerably accelerates the process of regeneration in a bone tissue. © 2011 Pleiades Publishing, Ltd.","Biomaterials; Biopolymers; Calcium phosphates; Composite materials; Oncology; Tissue engineering","Bone defect; Bone tissue; Carbonate-substituted hydroxyapatite; Dissolution kinetics; Hybrid composite materials; Hybrid composites; Nanodisperse powders; Porous matrixs; Apatite; Biomaterials; Biopolymers; Bone; Calcium phosphate; Composite materials; Dissolution; Hybrid materials; Hydroxyapatite; Medical applications; Phosphates; Tissue; Tissue engineering",,,20751133,,,,"English",2-s2.0-80051654577
"Biomeditsinskaya Khimiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857095045&partnerID=40&md5=0b8b3dfe3f5fd25fbb3b3c63aba732b6","Lomonosov Moscow State University, Vorobyevy gory, 1, bld. 12, Moscow, 119991, Russian Federation; Bakh Institute of Biochemistry RAS, Moscow, Russian Federation","Biodegradable biopolymers attract much attention in biology and medicine due to its wide application. The present review is designed to be a comprehensive source for research of biodegradable and biocompatible bacterial polymer, poly(3-hydroxybutyrate). This paper focuses on basic properties of biopolymer: biodegradability and biocompatibility, as well as on biopolymer systems: various materials, devices and compositions on the basis of biopolymer. Application of biopolymer systems based on poly(3-hydroxybutyrate) in medicine as surgical implants, in bioengineering as scaffold for cell cultures, and in pharmacy as drug dosage forms and drug systems is observed in the present review.","Biocompatibility; Biodegradation; Biopolymer system; Poly(3-hydroxybutyrate) (PHB); Polyhydroxyalkanoates (PHA)","Bacteria (microorganisms); biomaterial; hydroxybutyric acid; poly(3 hydroxybutyric acid); poly-beta-hydroxybutyrate; polyester; tissue scaffold; human; prostheses and orthoses; review; tissue engineering; Biocompatible Materials; Humans; Hydroxybutyrates; Polyesters; Prostheses and Implants; Tissue Engineering; Tissue Scaffolds",,,23106905,,,22066263,"Russian",2-s2.0-84857095045
"Biomeditsinskaya Khimiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864112433&partnerID=40&md5=7c29cb2aa984dacf3b1d7585f9b380b7","Institute of Transplantology and Artificial Organs, ul. Shchukinskaya, 1, Moscow, Russian Federation","The cultivation of multipotent mesenchymal stromal bone marrow cells and cells of A-431, MDCK, Vero, 3T3 and Hep-G2 was performed on polymeric films (PVA) with different hydrophobic fatty acid residues. The cells of different types grew on these films with different intensity, but in the most cases comparable with the cultivation control on usual plastic. The examined films were nontoxic to cells and sufficiently adhesive. They did not changed pH of cultural media, were optically transparent under microscope and comfortable in the experimental work. These films can be used as a model for the artificial organ construction. The covalent binding of different fatty acids to PVA shows possibility of the adaptable changes of films properties (hydrophobity and adhesiveness), and therefore possibility of the creation of optimal conditions for different cell types attachement and growth.","Bone marrow cells; Cell lines; Cultivation; Polyvynil alcohol (PVA); Substrates","fatty acid; polyvinyl alcohol; animal; article; bone marrow cell; cattle; cell proliferation; cell strain 3T3; cell strain HepG2; cell survival; Cercopithecus; chemistry; culture medium; culture technique; cytology; Haplorhini; human; methodology; mouse; rat; stem cell; tissue engineering; Vero cell; 3T3 Cells; Animals; Bone Marrow Cells; Cattle; Cell Culture Techniques; Cell Proliferation; Cell Survival; Cercopithecus aethiops; Culture Media; Fatty Acids; Haplorhini; Hep G2 Cells; Humans; Mice; Polyvinyl Alcohol; Rats; Stem Cells; Tissue Engineering; Vero Cells",,,23106905,,,22629604,"Russian",2-s2.0-84864112433
"Russian Journal of Physical Chemistry B",10.1134/S1990793111080033,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901778967&doi=10.1134%2fS1990793111080033&partnerID=40&md5=4c20dd7b2600a9f26506811716d4cf1c","Institute of Laser and Information Technologies, Russian Academy of Science, Troitsk, Moscow oblast, Russian Federation; Institute of Theoretical and Experimental Biophysics, Russian Academy of Sciences, Pushchino, Moscow oblast, Russian Federation; Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences, Moscow, Russian Federation","Composite materials for biomedical applications based on polylactide, a bioresorbable polymer, and nanosized calcium phosphate (hydroxyapatite) were produced using supercritical (SC) carbon dioxide. For composites with different polymer-to-mineral ratios, the bending stress-strain diagrams were investigated. The elasticity moduli of composites obtained in SC-CO2 from powdered bioresorbable polymer and bioactive nanoceramics ranged elastic modulus of natural bone. Experiments on adhesion of human embryonic fibroblasts demonstrated the suitability of generated samples for use in bone tissue scaffold engineering and regenerative medicine. © Pleiades Publishing, Ltd., 2011.","Bone tissue engineering; Composites; Mechanical properties; Nanosized hydroxyapatite; Polylactide; Supercritical carbon dioxide",,"09-02-01259, RFBR, Russian Foundation for Basic Research",,19907931,,,,"English",2-s2.0-84901778967
"Recent Patents on Drug Delivery and Formulation",10.2174/187221110793237547,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650009053&doi=10.2174%2f187221110793237547&partnerID=40&md5=0b92351075b5ba7269863f9c443824e2","Innovative Vision Products, Inc, 3511 Silverside Road, Suite 105, New Castle, De 19810, United States; Moscow Helmholtz Research Institute for Eye Diseases, 14/19 Sadovaya-Chernogryazskaya, Moscow 103064, Russian Federation; Engelhardt Institute of Molecular Biology, Russian Academy of Sciences, 32 Vavilov Street, Moscow 119991, Russian Federation","A pharmacological chaperone is a relatively new concept in the treatment of certain chronic disabling diseases. Cells maintain a complete set of functionally competent proteins normally and in the face of injury or environmental stress with the use of various mechanisms, including systems of proteins called molecular chaperones. Proteins that are denatured by any form of proteotoxic stress are cooperatively recognized by heat shock proteins (HSP) and directed for refolding or degradation. Under non-denaturing conditions HSP have important functions in cell physiology such as in transmembrane protein transport and in enabling assembly and folding of newly synthesized polypeptides. Besides cellular molecular chaperones, which are stress-induced proteins, there have been recently reported chemical, or so-called pharmacological chaperones with demonstrated ability to be effective in preventing misfolding of different disease-causing proteins, specifically in the therapeutic management of sight-threatening eye diseases, essentially reducing the severity of several neurodegenerative disorders (such as age-related macular degeneration), cataract and many other protein-misfolding diseases. This work reviews the biological and therapeutic activities protected with the patents of the family of imidazole-containing peptidomimetics Carcinine (P-alanylhistamine), N-acetylcarnosine (N-acetyl-P-alanyl-histidine) and Carnosine (P-alanyl-l-histidine) which are essential constituents possessing diverse biological and pharmacological chaperone properties in human tissues. © 2010 Bentham Science Publishers Ltd.","Age-related cataract; Age-related macular degeneration; Carcinine; Chemical and pharmacological chaperones; Cosmetic science; Diabetic retinopathy; Formulations and products; Human cataractous lenses; L-carnosine; Lipid hydroperoxides; Lipid peroxidation; N-acetylcarnosine; Natural imidazole-containing peptidomimetics; Non-enzymatic glycation; Ocular complications of diabetes; Ophthalmic treatment; Oxidative stress; Photoaging; Protein cross-linking; Review of patent protection; Skin care; Sod-like activity; Transglycation activity; Universal antioxidants","advanced glycation end product; alpha crystallin; beta crystallin; bovine serum albumin; can c; carcinine; chaperone; clarastill; collagen; crystallin; elastin; eye drops; free radical; gamma crystallin; heat shock protein; histamine H3 receptor antagonist; hydroperoxide; lens crystallin; levo carnosine; linoleic acid hydroperoxide; lipid peroxidase; liposome; malonaldehyde; membrane lipid; methylglyoxal; n acetylcarnosine; peptidomimetic agent; polaprezinc; superoxide dismutase; thiobarbituric acid reactive substance; trolox levo carnosine; unclassified drug; unindexed drug; aging; antioxidant activity; article; blindness; cataract; cataractogenesis; colitis; colon mucosa; dermis; diabetes mellitus; diabetic retinopathy; drug absorption; drug bioavailability; drug delivery system; drug formulation; drug purity; drug targeting; endoplasmic reticulum stress; enthalpy; entropy; epidermis; human; lens; lipid peroxidation; metal binding; molecular dynamics; nonhuman; oxidative stress; priority journal; protein aggregation; protein cross linking; protein expression; protein folding; protein glycosylation; protein tertiary structure; retina macula age related degeneration; sebaceous gland; skin capillary; skin function; skin structure; stomach mucosa; subcutaneous tissue; ultraviolet irradiation; wrinkle; Animals; Carnosine; Drug Delivery Systems; Heat-Shock Proteins; Humans; Molecular Chaperones; Patents as Topic; Protein Folding; Tissue Engineering",,,18722113,,,20863274,"English",2-s2.0-78650009053
"Journal of Biomedical Science",10.1186/1423-0127-17-92,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78649728792&doi=10.1186%2f1423-0127-17-92&partnerID=40&md5=0ea5ed7f845df074f3b1d75728578005","Department of Molecular Diagnostics, National Research Center GosNIIgenetika, 1st Dorozhny Proezd 1, 117545 Moscow, Russian Federation","Rapid repair of the denuded alveolar surface after injury is a key to survival. The respiratory tract contains several sources of endogenous adult stem cells residing within the basal layer of the upper airways, within or near pulmonary neuroendocrine cell rests, at the bronchoalveolar junction, and within the alveolar epithelial surface, which contribute to the repair of the airway wall. Bone marrow-derived adult mesenchymal stem cells circulating in blood are also involved in tracheal regeneration. However, an organism is frequently incapable of repairing serious damage and defects of the respiratory tract resulting from acute trauma, lung cancers, and chronic pulmonary and airway diseases. Therefore, replacement of the tracheal tissue should be urgently considered. The shortage of donor trachea remains a major obstacle in tracheal transplantation. However, implementation of tissue engineering and stem cell therapy-based approaches helps to successfully solve this problem. To date, huge progress has been achieved in tracheal bioengineering. Several sources of stem cells have been used for transplantation and airway reconstitution in animal models with experimentally induced tracheal defects. Most tracheal tissue engineering approaches use biodegradable three-dimensional scaffolds, which are important for neotracheal formation by promoting cell attachment, cell redifferentiation, and production of the extracellular matrix. The advances in tracheal bioengineering recently resulted in successful transplantation of the world's first bioengineered trachea. Current trends in tracheal transplantation include the use of autologous cells, development of bioactive cell-free scaffolds capable of supporting activation and differentiation of host stem cells on the site of injury, with a future perspective of using human native sites as micro-niche for potentiation of the human body's site-specific response by sequential adding, boosting, permissive, and recruitment impulses. © 2010 Chistiakov; licensee BioMed Central Ltd.",,"aggrecan; collagen type 11; collagen type 2; collagen type 6; collagen type 9; decorin; fibromodulin; fibronectin; hyaluronic acid; integrin; tissue scaffold; adult stem cell; amniotic fluid cell; bioengineering; cartilage cell; cartilage graft; cell adhesion; cell dedifferentiation; cell free system; cellular distribution; epithelium cell; extracellular matrix; human; mesenchymal stem cell; mesenchymal stem cell transplantation; nonhuman; priority journal; protein protein interaction; respiratory epithelium; review; stem cell transplantation; tissue engineering; tissue regeneration; trachea; trachea injury; transplantation; umbilical cord blood; animal; cytology; epithelium cell; lung; methodology; physiology; regenerative medicine; trachea; transplantation; wound healing; Animalia; Adult Stem Cells; Animals; Bioengineering; Epithelial Cells; Extracellular Matrix; Humans; Lung; Regenerative Medicine; Stem Cell Transplantation; Tissue Engineering; Trachea; Wound Healing",,,10217770,,JBCIE,21138559,"English",2-s2.0-78649728792
"Bulletin of Experimental Biology and Medicine",10.1007/s10517-010-1091-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951604817&doi=10.1007%2fs10517-010-1091-0&partnerID=40&md5=4b9e497c2d3ae4b93a14836e4f08c6c3","Institute of Theoretical and Experimental Biophysics, Russian Academy of Sciences, Russian Federation; Pushchino State University, Russian Federation","We performed qualitative comparison of freeze drying and chemical drying as methods of preparing 3D wet specimens for scanning electron microscopy. Human fi broblasts immobilized in collagen gel were used as a model system. Specimens fi xed with glutaraldehyde were frozen in liquid nitrogen and freeze-dried at low temperature in high vacuum. In parallel experiments, glutaraldehyde-fixed samples were dehydrated in ascending ethanol solutions, absolute ethanol, and 100% hexamethyldisilazane and then dried at room temperature. Scanning electron microscopy microphotographs of collagen fi bers and cells were characterized by high resolution and the absence of collapsed or deformed structures even at high magnifi cation (×50,000) for both chemical drying and high-vacuum freeze drying. However, high-vacuum freeze drying is superior to chemical drying for the investigation of the internal space of 3D scaffolds, because sample fracture can be prepared directly in liquid nitrogen. These techniques are a part of the sample preparation process for scanning electron microscopy and can also be used for studies of cell adhesion, morphology, and arrangement in wet specimens (3D gels and fl exible tissue engineering scaffolds). © 2010 Springer Science+Business Media, Inc.","Collagen gel; Fi broblasts; Freeze drying; Scanning electron microscopy","alcohol; collagen fiber; collagen gel; glutaraldehyde; hexamethyldisiloxane; liquid nitrogen; article; cell adhesion; cell structure; controlled study; embryo; fetus; fibroblast culture; freeze drying; human; human cell; immobilized cell; intermethod comparison; low temperature; qualitative analysis; room temperature; scanning electron microscopy; structure analysis; three dimensional imaging; tissue engineering; Collagen; Fibroblasts; Freeze Drying; Humans; Microscopy, Electron, Scanning",,,00074888,,BEXBA,21161075,"English",2-s2.0-79951604817
"Tsitologiya",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77958113963&partnerID=40&md5=12473702e6796cff5b7fc0c02e43b072","Institute of Cytology RAS, Russian Federation; Laboratory of Ecological Chemistry and Biotechnology, State University of Technology and Design, St. Petersburg, Russian Federation","Seven methods of preparation of intact native collagen with telopeptides by acid extraction of calf skin have been compared; the hide was first dehaired by original mild enzymatical method using Bacillus licheniformis protease. The noncollagenous proteins and proteoglycans were previously removed by different ways and collagen was extracted by acid solvents and purified by salt precipitation. The dynamic of noncollagen impurities removing was followed by noncollagen proteins and hexuronic acids analysis in extracts. The purity of theresulting collagen was determined by polyacrilamide gel electrophoresis. The gel-forming capacity of the collagen was determined and thesuitability of the product for tissue engineering was estimated by cultivation of fibroblasts and cardyomyocytes of new-born rats on collagen gells. All collagens obtained were not cytotoxic and had good gel-forming capacity. The preparation method with noncollagen impurities removing with 0.02 M K2HPO4 and collagen solution with 0.5 M acetic acid and 5 mM EDTA proved to be the best by final yield of the product aninfd cell reaction to it. Hence, theoptimal variant of collagen preparation method has been developed. The Russian Federation patent on this method was taken out.","Cells in collagen gels; Collagen; Collagen fibril structure; Collagen preparation; Tissue engineering","collagen; collagen type 1; collagen type I trimeric cross linked peptide; collagen type I trimeric cross-linked peptide; peptide; peptide hydrolase; animal; article; Bacillus; cattle; chemistry; culture technique; enzymology; evaluation; isolation and purification; rat; skin; suckling; tissue engineering; Animals; Animals, Suckling; Bacillus; Cattle; Cell Culture Techniques; Collagen; Collagen Type I; Peptide Hydrolases; Peptides; Rats; Skin; Tissue Engineering",,,00413771,,TSITA,20799626,"Russian",2-s2.0-77958113963
